Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
0,"final_project2.exe","18,461",0,100.00,0.00,"",
0,"[ntdll.dll]","18,461",0,100.00,0.00,"ntdll.dll",
1,"[kernel32.dll]","18,457",0,99.98,0.00,"kernel32.dll",
2,"[ntdll.dll]","18,035",0,97.69,0.00,"ntdll.dll",
3,"[ntdll.dll]","18,035",8,97.69,0.04,"ntdll.dll",
4,"[msvcp140.dll]","18,010",0,97.56,0.00,"msvcp140.dll",
5,"Concurrency::details::_DefaultPPLTaskScheduler::_PPLTaskChore::_Callback","18,010",0,97.56,0.00,"final_project2.exe",
6,"Concurrency::details::_TaskProcHandle::_RunChoreBridge","18,006",0,97.54,0.00,"final_project2.exe",
7,"Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_550df6c48817ce6ec49393f9f99350ae>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","10,548",0,57.14,0.00,"final_project2.exe",
8,"std::_Func_impl_no_alloc<<lambda_052e919cc0e5399df76dff3972c0cac1>,unsigned char>::_Do_call","10,546",0,57.13,0.00,"final_project2.exe",
9,"std::_Packaged_state<void __cdecl(void)>::_Call_immediate","10,546",0,57.13,0.00,"final_project2.exe",
10,"std::_Func_impl_no_alloc<std::_Fake_no_copy_callable_adapter<void (__cdecl*&)(double *,unsigned __int64,unsigned int,double *,double *,unsigned int,double,enum derivatives::OptionType,double,double,double *),double * &,unsigned __int64 &,unsigned int &,double * &,double * &,unsigned int &,double &,enum derivatives::OptionType &,double &,double &,double * &>,void>::_Do_call","10,539",0,57.09,0.00,"final_project2.exe",
11,"_swaption_pay_off","10,539",2,57.09,0.01,"final_project2.exe",
12,"LIBOR_model::y","6,950",9,37.65,0.05,"final_project2.exe",
13,"OIS_model::_A_","6,925","6,917",37.51,37.47,"final_project2.exe",
14,"[ucrtbase.dll]",8,8,0.04,0.04,"ucrtbase.dll",
13,"rand_tools::rand01",13,13,0.07,0.07,"final_project2.exe",
13,"[ucrtbase.dll]",3,3,0.02,0.02,"ucrtbase.dll",
12,"OIS_model::P","3,584",3,19.41,0.02,"final_project2.exe",
13,"OIS_model::_A_","3,581","3,581",19.40,19.40,"final_project2.exe",
12,"[ucrtbase.dll]",3,3,0.02,0.02,"ucrtbase.dll",
10,"std::_Associated_state<int>::_Do_notify",5,0,0.03,0.00,"final_project2.exe",
11,"[msvcp140.dll]",5,1,0.03,0.01,"msvcp140.dll",
12,"[ntdll.dll]",4,0,0.02,0.00,"ntdll.dll",
13,"[ntdll.dll]",4,4,0.02,0.02,"ntdll.dll",
10,"[msvcp140.dll]",2,1,0.01,0.01,"msvcp140.dll",
11,"[ntdll.dll]",1,0,0.01,0.00,"ntdll.dll",
12,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
8,"std::_Func_impl_no_alloc<<lambda_052e919cc0e5399df76dff3972c0cac1>,unsigned char>::_Delete_this",1,0,0.01,0.00,"final_project2.exe",
9,"[ucrtbase.dll]",1,0,0.01,0.00,"ucrtbase.dll",
10,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
8,"Concurrency::details::_Task_impl<unsigned char>::_TransitionedToStarted",1,0,0.01,0.00,"final_project2.exe",
9,"[msvcp140.dll]",1,0,0.01,0.00,"msvcp140.dll",
10,"[ntdll.dll]",1,1,0.01,0.01,"ntdll.dll",
7,"Concurrency::details::_PPLTaskHandle<unsigned char,Concurrency::task<unsigned char>::_InitialTaskHandle<void,<lambda_1c025fab119a2cfd55026f7f1a9a9e1a>,Concurrency::details::_TypeSelectorNoAsync>,Concurrency::details::_TaskProcHandle>::invoke","7,279",0,39.43,0.00,"final_project2.exe",
8,"std::_Func_impl_no_alloc<<lambda_052e919cc0e5399df76dff3972c0cac1>,unsigned char>::_Do_call","7,274",0,39.40,0.00,"final_project2.exe",
9,"std::_Packaged_state<void __cdecl(void)>::_Call_immediate","7,274",0,39.40,0.00,"final_project2.exe",
10,"std::_Func_impl_no_alloc<std::_Fake_no_copy_callable_adapter<void (__cdecl*&)(double *,unsigned __int64,unsigned int,double,double,enum derivatives::OptionType,double,double,unsigned int,double,double *),double * &,unsigned __int64 &,unsigned int &,double &,double &,enum derivatives::OptionType &,double &,double &,unsigned int &,double &,double * &>,void>::_Do_call","7,270",0,39.38,0.00,"final_project2.exe",
11,"_dsc_op_pay_off","7,270",4,39.38,0.02,"final_project2.exe",
12,"OIS_model::P","3,675",2,19.91,0.01,"final_project2.exe",
13,"OIS_model::_A_","3,670","3,668",19.88,19.87,"final_project2.exe",
14,"[ucrtbase.dll]",2,2,0.01,0.01,"ucrtbase.dll",
13,"[ucrtbase.dll]",3,3,0.02,0.02,"ucrtbase.dll",
12,"LIBOR_model::y","3,577",2,19.38,0.01,"final_project2.exe",
13,"OIS_model::_A_","3,569","3,567",19.33,19.32,"final_project2.exe",
14,"[ucrtbase.dll]",2,2,0.01,0.01,"ucrtbase.dll",
13,"rand_tools::rand01",4,4,0.02,0.02,"final_project2.exe",
13,"[ucrtbase.dll]",2,2,0.01,0.01,"ucrtbase.dll",
12,"rand_tools::randn",11,6,0.06,0.03,"final_project2.exe",
13,"rand_tools::rand01",5,5,0.03,0.03,"final_project2.exe",
12,"[ucrtbase.dll]",3,3,0.02,0.02,"ucrtbase.dll",
10,"std::_Associated_state<int>::_Do_notify",3,0,0.02,0.00,"final_project2.exe",
11,"[msvcp140.dll]",3,0,0.02,0.00,"msvcp140.dll",
12,"[ntdll.dll]",3,0,0.02,0.00,"ntdll.dll",
13,"[ntdll.dll]",3,3,0.02,0.02,"ntdll.dll",
