Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Root","[kernel32.dll]","[kernel32.dll]","18,457",0,99.98,0.00,
"Caller","[kernel32.dll]","[msvcp140.dll]",3,0,0.02,0.00,
"Caller","[kernel32.dll]","[ntdll.dll]","18,457",0,99.98,0.00,
"Caller","[kernel32.dll]","[ucrtbase.dll]",1,0,0.01,0.00,
"Callee","[kernel32.dll]","[ntdll.dll]","18,039",0,97.71,0.00,
"Callee","[kernel32.dll]","__scrt_common_main_seh",422,0,2.29,0.00,
"Root","[KernelBase.dll]","[KernelBase.dll]",390,1,2.11,0.01,
"Caller","[KernelBase.dll]","[KernelBase.dll]",2,0,0.01,0.00,
"Caller","[KernelBase.dll]","[msvcp140.dll]",388,1,2.10,0.01,
"Caller","[KernelBase.dll]","[ntdll.dll]",2,0,0.01,0.00,
"Callee","[KernelBase.dll]","[KernelBase.dll]",2,0,0.01,0.00,
"Callee","[KernelBase.dll]","[ntdll.dll]",389,298,2.11,1.61,
"Root","[msvcp140.dll]","[msvcp140.dll]","18,407",8,99.71,0.04,
"Caller","[msvcp140.dll]","[ntdll.dll]","18,010",0,97.56,0.00,
"Caller","[msvcp140.dll]","Concurrency::details::_DefaultPPLTaskScheduler::_PPLTaskChore::_Callback",3,1,0.02,0.01,
"Caller","[msvcp140.dll]","Concurrency::details::_DefaultPPLTaskScheduler::schedule",6,0,0.03,0.00,
"Caller","[msvcp140.dll]","Concurrency::details::_Task_impl_base::_Wait",70,0,0.38,0.00,
"Caller","[msvcp140.dll]","Concurrency::details::_Task_impl<unsigned char>::_FinalizeAndRunContinuations",4,0,0.02,0.00,
"Caller","[msvcp140.dll]","Concurrency::details::_Task_impl<unsigned char>::_TransitionedToStarted",2,0,0.01,0.00,
"Caller","[msvcp140.dll]","Concurrency::task_options::task_options",1,1,0.01,0.01,
"Caller","[msvcp140.dll]","Concurrency::task<void>::task<void><<lambda_550df6c48817ce6ec49393f9f99350ae> >",1,1,0.01,0.01,
"Caller","[msvcp140.dll]","std::_Associated_state<int>::_Do_notify",8,1,0.04,0.01,
"Caller","[msvcp140.dll]","std::_Packaged_state<void __cdecl(void)>::_Call_immediate",4,3,0.02,0.02,
"Caller","[msvcp140.dll]","std::_State_manager<int>::wait_for<__int64,std::ratio<1,1000> >",319,1,1.73,0.01,
"Callee","[msvcp140.dll]","[kernel32.dll]",3,0,0.02,0.00,
"Callee","[msvcp140.dll]","[KernelBase.dll]",388,1,2.10,0.01,
"Callee","[msvcp140.dll]","[ntdll.dll]",19,8,0.10,0.04,
"Callee","[msvcp140.dll]","Concurrency::details::_DefaultPPLTaskScheduler::_PPLTaskChore::_Callback","18,010",0,97.56,0.00,
"Root","[ntdll.dll]","[ntdll.dll]","18,461",452,100.00,2.45,
"Caller","[ntdll.dll]","[kernel32.dll]","18,039",0,97.71,0.00,
