Child Level,Event Name,CPU Start (ns),GPU Start (ns),GPU Duration (ns),Process Name,Thread ID,CPU Core,GPU Engine,
0,"GPU Work",0,1489071000,35400,final_project2.exe,,,COPY,
0,"GPU Work",0,1489122000,24600,final_project2.exe,,,COPY,
0,"GPU Work",0,1488533500,926200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1491101400,50300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1495337000,34100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1495987800,30700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1496040400,25700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1496090100,25300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1496134300,32400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1496178400,30600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1496221800,24600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1496267500,24500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1496318300,24400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1496378300,35500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1496427200,34700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1497551000,30100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1498620300,58300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1500842700,66400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1500938200,127000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1501065200,29500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1501094700,40400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1501135100,30500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1501165600,39200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1501204800,32400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1501237200,47400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1501284600,24900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1501447300,74400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1501521700,36300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1501558000,35200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1501593200,17600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1501620100,56500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1501676600,1700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1501695700,52500,final_project2.exe,,,Cuda,
