Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Root","[_IdentityPlugin.dll]","[_IdentityPlugin.dll]",2,0,0.02,0.00,
"Caller","[_IdentityPlugin.dll]","[poco.dll]",2,0,0.02,0.00,
"Callee","[_IdentityPlugin.dll]","[poco.dll]",2,0,0.02,0.00,
"Root","[_ShieldWirelessControllerPlugin.dll]","[_ShieldWirelessControllerPlugin.dll]",2,0,0.02,0.00,
"Caller","[_ShieldWirelessControllerPlugin.dll]","[poco.dll]",2,0,0.02,0.00,
"Callee","[_ShieldWirelessControllerPlugin.dll]","[poco.dll]",2,0,0.02,0.00,
"Root","[apphelp.dll]","[apphelp.dll]",1,0,0.01,0.00,
"Caller","[apphelp.dll]","[apphelp.dll]",1,0,0.01,0.00,
"Caller","[apphelp.dll]","[ntdll.dll]",1,0,0.01,0.00,
"Callee","[apphelp.dll]","[apphelp.dll]",1,0,0.01,0.00,
"Callee","[apphelp.dll]","[ntdll.dll]",1,0,0.01,0.00,
"Root","[atlthunk.dll]","[atlthunk.dll]",77,0,0.58,0.00,
"Caller","[atlthunk.dll]","[user32.dll]",77,0,0.58,0.00,
"Callee","[atlthunk.dll]","[ScriptedSandbox64.exe]",77,0,0.58,0.00,
"Root","[bcrypt.dll]","[bcrypt.dll]",2,0,0.02,0.00,
"Caller","[bcrypt.dll]","[bcrypt.dll]",2,0,0.02,0.00,
"Caller","[bcrypt.dll]","[jscript9.dll]",1,0,0.01,0.00,
"Caller","[bcrypt.dll]","[mshtml.dll]",1,0,0.01,0.00,
"Callee","[bcrypt.dll]","[bcrypt.dll]",2,0,0.02,0.00,
"Callee","[bcrypt.dll]","[bcryptprimitives.dll]",1,0,0.01,0.00,
"Callee","[bcrypt.dll]","[ntdll.dll]",1,0,0.01,0.00,
"Root","[bcrypt.dll]","[bcrypt.dll]",1,1,0.01,0.01,
"Caller","[bcrypt.dll]","[crypt32.dll]",1,1,0.01,0.01,
"Root","[bcryptprimitives.dll]","[bcryptprimitives.dll]",1,0,0.01,0.00,
"Caller","[bcryptprimitives.dll]","[bcrypt.dll]",1,0,0.01,0.00,
"Caller","[bcryptprimitives.dll]","[bcryptprimitives.dll]",1,0,0.01,0.00,
"Callee","[bcryptprimitives.dll]","[bcryptprimitives.dll]",1,0,0.01,0.00,
"Callee","[bcryptprimitives.dll]","[ntdll.dll]",1,1,0.01,0.01,
"Root","[cfgmgr32.dll]","[cfgmgr32.dll]",1,0,0.01,0.00,
"Caller","[cfgmgr32.dll]","[cfgmgr32.dll]",1,0,0.01,0.00,
"Caller","[cfgmgr32.dll]","[devobj.dll]",1,0,0.01,0.00,
"Callee","[cfgmgr32.dll]","[cfgmgr32.dll]",1,0,0.01,0.00,
"Callee","[cfgmgr32.dll]","[kernel32.dll]",1,0,0.01,0.00,
"Root","[clr.dll]","[clr.dll]",1,1,0.01,0.01,
"Caller","[clr.dll]","[Newtonsoft.Json.ni.dll]",1,1,0.01,0.01,
"Root","[cmd.exe]","[cmd.exe]",2,1,0.02,0.01,
"Caller","[cmd.exe]","[cmd.exe]",2,1,0.02,0.01,
"Caller","[cmd.exe]","[kernel32.dll]",2,0,0.02,0.00,
"Callee","[cmd.exe]","[cmd.exe]",2,1,0.02,0.01,
"Callee","[cmd.exe]","[KernelBase.dll]",1,0,0.01,0.00,
"Root","[combase.dll]","[combase.dll]",1,1,0.01,0.01,
"Caller","[combase.dll]","[combase.dll]",1,1,0.01,0.01,
"Caller","[combase.dll]","[ntdll.dll]",1,0,0.01,0.00,
"Caller","[combase.dll]","[ucrtbase.dll]",1,0,0.01,0.00,
"Callee","[combase.dll]","[combase.dll]",1,1,0.01,0.01,
"Callee","[combase.dll]","[ucrtbase.dll]",1,0,0.01,0.00,
"Root","[combase.dll]","[combase.dll]",32,3,0.24,0.02,
"Caller","[combase.dll]","[combase.dll]",30,1,0.23,0.01,
"Caller","[combase.dll]","[ieframe.dll]",1,0,0.01,0.00,
"Caller","[combase.dll]","[jscript9.dll]",3,1,0.02,0.01,
"Caller","[combase.dll]","[mshtml.dll]",9,0,0.07,0.00,
"Caller","[combase.dll]","[ntdll.dll]",1,1,0.01,0.01,
"Caller","[combase.dll]","[ole32.dll]",4,0,0.03,0.00,
"Caller","[combase.dll]","[ScriptedSandbox64.exe]",7,0,0.05,0.00,
"Caller","[combase.dll]","[urlmon.dll]",4,0,0.03,0.00,
"Caller","[combase.dll]","[windows.storage.dll]",3,0,0.02,0.00,
"Callee","[combase.dll]","[combase.dll]",30,1,0.23,0.01,
"Callee","[combase.dll]","[ieframe.dll]",2,0,0.02,0.00,
"Callee","[combase.dll]","[KernelBase.dll]",16,0,0.12,0.00,
"Callee","[combase.dll]","[rpcrt4.dll]",2,0,0.02,0.00,
"Callee","[combase.dll]","[ScriptedSandbox64.exe]",5,0,0.04,0.00,
